title,author,journal,issn,volume,pages,date,display_date,doi,citations,year
DAISY as an effective means of synchronous presentation of information as text and audio track,Ushakova M.A.,Psychological Science and Education,18142052,16,100-107,2011-01-01,2011,NA,0,2011
Education in China: A transition toward student-centered instruction,Schroth S.T.,Psychological Science and Education,18142052,16,80-86,2011-01-01,2011,NA,0,2011
Gifted education in korea: Three Korean high schools for the mathematically gifted,Choi K.M.,Psychological Science and Education,18142052,16,87-94,2011-01-01,2011,NA,0,2011
On certain psychological-methodical aspects of teaching English phonetics in primary school,Tarasov A.A.,Psychological Science and Education,18142052,16,21-28,2011-01-01,2011,NA,0,2011
Inclusive education and personal inclusion,Suvorov A.V.,Psychological Science and Education,18142052,16,27-31,2011-01-01,2011,NA,0,2011
Communication and activity - Two foundations for design of integrative (inclusive) spaces,Korepanova I.A.,Psychological Science and Education,18142052,16,12-18,2011-01-01,2011,NA,1,2011
Gifted children: Today's tendencies and tomorrow's challenges,Yurkevich V.S.,Psychological Science and Education,18142052,16,99-108,2011-01-01,2011,NA,5,2011
Capuchin monkeys are not prosocial in an instrumental helping task,Skerry A.E.,Animal Cognition,14359448,14,647-654,2011-01-01,September 2011,10.1007/s10071-011-0399-0,29,2011
Children's play and military toys today,Brandl M.,Psychological Science and Education,18142052,16,26,2011-01-01,2011,NA,2,2011
Rhesus monkeys lack a consistent peak-end effect.,Xu E.R.,Quarterly journal of experimental psychology (2006),NA,64,2301-2315,2011-01-01,Dec 2011,10.1080/17470218.2011.591936,24,2011
"Explicit memory for unattended words: The importance of being in the ""no""",Hoffman Y.,Psychological Science,09567976,22,1490-1493,2011-01-01,December 2011,10.1177/0956797611419674,11,2011
A face only an investor could love: CEOs' facial structure predicts their firms' financial performance,Wong E.M.,Psychological Science,09567976,22,1478-1483,2011-01-01,December 2011,10.1177/0956797611418838,180,2011
Driven to distraction: The impact of distracter type on unconscious decision making,McMahon K.,Social Cognition,0278016X,29,683-698,2011-01-01,December 2011,10.1521/soco.2011.29.6.683,24,2011
Revising beliefs about the merit of unconscious thought: Evidence in favor of the null hypothesis,Newell B.R.,Social Cognition,0278016X,29,711-726,2011-01-01,December 2011,10.1521/soco.2011.29.6.711,29,2011
The brain basis of the phonological deficit in dyslexia is independent of IQ,Tanaka H.,Psychological Science,09567976,22,1442-1451,2011-01-01,November 2011,10.1177/0956797611419521,134,2011
The number and quality of representations in working memory,Zhang W.,Psychological Science,09567976,22,1434-1441,2011-01-01,November 2011,10.1177/0956797611417006,143,2011
"The right side? under time pressure, approach motivation leads to right-oriented bias",Roskes M.,Psychological Science,09567976,22,1403-1407,2011-01-01,November 2011,10.1177/0956797611418677,33,2011
When being right is not enough: Four-year-olds distinguish knowledgeable informants from merely accurate informants,Einav S.,Psychological Science,09567976,22,1250-1253,2011-01-01,October 2011,10.1177/0956797611416998,82,2011
Psychopathic traits and preattentive threat processing in children: A novel test of the fearlessness hypothesis,Sylvers P.D.,Psychological Science,09567976,22,1280-1287,2011-01-01,October 2011,10.1177/0956797611420730,89,2011
The distance effect in numerical memory-updating tasks,Lendínez C.,Memory and Cognition,0090502X,39,675-685,2011-01-01,2011,10.3758/s13421-010-0047-y,17,2011
Local jekyll and global hyde: The dual identity of face identification,Miellet S.,Psychological Science,09567976,22,1518-1526,2011-01-01,December 2011,10.1177/0956797611424290,57,2011
Shared language: Overlap and segregation of the neuronal infrastructure for speaking and listening revealed by functional MRI,Menenti L.,Psychological Science,09567976,22,1173-1182,2011-01-01,September 2011,10.1177/0956797611418347,169,2011
"Best friends: Alliances, friend ranking, and the myspace social network",Descioli P.,Perspectives on Psychological Science,17456916,6,6-8,2011-01-01,January 2011,10.1177/1745691610393979,48,2011
Culturally divergent responses to mortality salience,Ma-Kellams C.,Psychological Science,09567976,22,1019-1024,2011-01-01,August 2011,10.1177/0956797611413935,27,2011
Evolutionary theory and the ultimate-proximate distinction in the human behavioral sciences,Scott-Phillips T.C.,Perspectives on Psychological Science,17456916,6,38-47,2011-01-01,January 2011,10.1177/1745691610393528,330,2011
Metacognitive awareness of learning strategies in undergraduates,McCabe J.,Memory and Cognition,0090502X,39,462-476,2011-01-01,2011,10.3758/s13421-010-0035-2,241,2011
The importance of vowel diacritics for the temporary retention of high and low frequency Hebrew words of varying syllabic length,Vaknin-Nusbaum V.,Memory and Cognition,0090502X,39,516-526,2011-01-01,2011,10.3758/s13421-010-0026-3,10,2011
Too much of a good thing: The challenge and opportunity of the inverted U,Grant A.M.,Perspectives on Psychological Science,17456916,6,61-76,2011-01-01,January 2011,10.1177/1745691610393523,524,2011
Nativelike right-dislocation in near-native French,Donaldson B.,Second Language Research,02676583,27,361-390,2011-01-01,July 2011,10.1177/0267658310395866,16,2011
Syntactic creativity in second language english: Wh-scope marking in Japanese-English interlanguage,Schulz B.,Second Language Research,02676583,27,313-341,2011-01-01,July 2011,10.1177/0267658310390503,12,2011
The boss is paying attention: Power affects the functioning of the attentional networks,Willis G.,Social Cognition,0278016X,29,166-181,2011-01-01,2011,10.1521/soco.2011.29.2.166,18,2011
The joint influence of consensus information and situational information on trait inferences for targets and populations,Rose J.,Social Cognition,0278016X,29,147-165,2011-01-01,2011,10.1521/soco.2011.29.2.147,3,2011
Individual differences in children's mathematical competence are related to the intentional but not automatic processing of Arabic numerals,Bugden S.,Cognition,00100277,118,32-44,2011-01-01,January 2011,10.1016/j.cognition.2010.09.005,132,2011
The effects of problem content and scientific background on information search and the assessment and valuation of correlations,Soffer S.,Memory and Cognition,0090502X,39,107-116,2011-01-01,January 2011,10.3758/s13421-010-0008-5,0,2011
Source credibility and syllogistic reasoning,Copeland D.,Memory and Cognition,0090502X,39,117-127,2011-01-01,January 2011,10.3758/s13421-010-0029-0,11,2011
What's in a name? Popular names are less common on frontiers,Varnum M.E.W.,Psychological Science,09567976,22,176-183,2011-01-01,February 2011,10.1177/0956797610395396,93,2011
Evolution of the missing-letter effect among young readers between ages 5 and 8,Foucambert D.,Applied Psycholinguistics,01427164,32,1-17,2011-01-01,January 2011,10.1017/S0142716410000263,3,2011
Temporal Bisection in 4-Month-Old Infants,Provasi J.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,37,108-113,2011-01-01,January 2011,10.1037/a0019976,41,2011
Eliminating Inhibition of Return by Changing Salient Nonspatial Attributes in a Complex Environment,Hu F.K.,Journal of Experimental Psychology: General,00963445,140,35-50,2011-01-01,February 2011,10.1037/a0021091,43,2011
Hoping for the best or preparing for the worst? Regulatory focus and preferences for optimism and pessimism in predicting personal outcomes,Hazlett A.,Social Cognition,0278016X,29,74-96,2011-01-01,2011,10.1521/soco.2011.29.1.74,68,2011
Motivational influences on cognitive performance in children: Focus over fit,Worthy D.A.,Journal of Cognition and Development,15248372,12,103-119,2011-01-01,January 2011,10.1080/15248372.2010.535229,7,2011
Being a Chinese newcomer in Madrid compulsory education: Ideological constructions in language education practice,Pérez-Milans M.,Journal of Pragmatics,03782166,43,1005-1022,2011-01-01,March 2011,10.1016/j.pragma.2010.10.003,20,2011
Central vowels in Central Arrernte: A spectrographic study of a small vowel system,Tabain M.,Journal of Phonetics,00954470,39,68-84,2011-01-01,January 2011,10.1016/j.wocn.2010.11.004,24,2011
New Rule Use Drives the Relation Between Working Memory Capacity and Raven's Advanced Progressive Matrices,Wiley J.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,37,256-263,2011-01-01,January 2011,10.1037/a0021613,81,2011
Readers' Reliance on Source Credibility in the Service of Comprehension,Sparks J.R.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,37,230-247,2011-01-01,January 2011,10.1037/a0021331,86,2011
Making Sense of Surprise: An Investigation of the Factors Influencing Surprise Judgments,Maguire R.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,37,176-186,2011-01-01,January 2011,10.1037/a0021609,100,2011
"Logic, Beliefs, and Instruction: A Test of the Default Interventionist Account of Belief Bias",Handley S.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,37,28-43,2011-01-01,January 2011,10.1037/a0021098,105,2011
Context Affects Feeling-of-Knowing Accuracy in Younger and Older Adults,Thomas A.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,37,96-108,2011-01-01,January 2011,10.1037/a0021612,48,2011
Promoting de-escalation of commitment: A regulatory-focus perspective on sunk costs,Molden D.,Psychological Science,09567976,22,8-12,2011-01-01,January 2011,10.1177/0956797610390386,49,2011
Postural effects of the horizon on land and at sea,Mayo A.M.,Psychological Science,09567976,22,118-124,2011-01-01,January 2011,10.1177/0956797610392927,35,2011
When focusing on differences leads to similar perspectives,Todd A.,Psychological Science,09567976,22,134-141,2011-01-01,January 2011,10.1177/0956797610392929,100,2011
Sense of agency over speech and proneness to auditory hallucinations: The reality-monitoring paradigm,Sugimori E.,Quarterly Journal of Experimental Psychology,17470218,64,169-185,2011-01-01,January 2011,10.1080/17470218.2010.489261,14,2011
Making the illusory correlation effect appear and then disappear: The effects of increased learning,Murphy R.A.,Quarterly Journal of Experimental Psychology,17470218,64,24-40,2011-01-01,January 2011,10.1080/17470218.2010.493615,29,2011
Perceptual and response components in repetition priming of spoken words and pseudowords,Orfanidou E.,Quarterly Journal of Experimental Psychology,17470218,64,96-121,2011-01-01,January 2011,10.1080/17470211003743794,12,2011
Spatial foundations of science education: The illustrative case of instruction on introductory geological concepts,Liben L.S.,Cognition and Instruction,07370008,29,45-87,2011-01-01,January 2011,10.1080/07370008.2010.533596,51,2011
A discrete emotions approach to positive emotion disturbance in depression,Gruber J.,Cognition and Emotion,02699931,25,40-52,2011-01-01,January 2011,10.1080/02699931003615984,49,2011
Mad enough to see the other side: Anger and the search for disconfirming information,Young M.,Cognition and Emotion,02699931,25,10-21,2011-01-01,January 2011,10.1080/02699930903534105,37,2011
What you see is what will change: Evaluative conditioning effects depend on a focus on valence,Gast A.,Cognition and Emotion,02699931,25,89-110,2011-01-01,January 2011,10.1080/02699931003696380,73,2011
Are dogs (Canis familiaris) misled more by their owners than by strangers in a food choice task?,Marshall-Pescini S.,Animal Cognition,14359448,14,137-142,2011-01-01,January 2011,10.1007/s10071-010-0340-y,42,2011
Can angelfish (Pterophyllum scalare) count? Discrimination between different shoal sizes follows Weber's law,Gómez-Laplaza L.M.,Animal Cognition,14359448,14,1-9,2011-01-01,January 2011,10.1007/s10071-010-0337-6,111,2011
Introduction: Some notes on the generative study of l3 acquisition,Rothman J.,Second Language Research,02676583,27,5-19,2011-01-01,January 2011,10.1177/0267658310386443,24,2011
Grounding spatial language in the motor system: Reciprocal interactions between spatial semantics and orienting,Gibson B.S.,Visual Cognition,13506285,19,79-116,2011-01-01,January 2011,10.1080/13506285.2010.495696,12,2011
"Codeswitching, identity and ownership in Irish radio comedy",Atkinson D.,Journal of Pragmatics,03782166,43,251-260,2011-01-01,January 2011,10.1016/j.pragma.2010.07.021,19,2011
Variables that affect the dependability of L2 pragmatics tests,Brown J.,Journal of Pragmatics,03782166,43,198-217,2011-01-01,January 2011,10.1016/j.pragma.2010.07.026,24,2011
Transition space medium repair: Language shift talked into being,Gafaranga J.,Journal of Pragmatics,03782166,43,118-135,2011-01-01,January 2011,10.1016/j.pragma.2010.08.001,26,2011
When laughter is not enough. Responding to teasing and self-denigrating humour at work,Schnurr S.,Journal of Pragmatics,03782166,43,20-35,2011-01-01,January 2011,10.1016/j.pragma.2010.09.001,101,2011
Spanish ya. A conceptual pragmatic anchor,Delbecque N.,Journal of Pragmatics,03782166,43,73-98,2011-01-01,January 2011,10.1016/j.pragma.2010.08.004,12,2011
'Doing power' at work: Responding to male and female management styles in a global business corporation,Ladegaard H.J.,Journal of Pragmatics,03782166,43,4-19,2011-01-01,January 2011,10.1016/j.pragma.2010.09.006,37,2011
The the... the... construction: Meaning and readings,Cappelle B.,Journal of Pragmatics,03782166,43,99-117,2011-01-01,January 2011,10.1016/j.pragma.2010.08.002,15,2011
Giving a tone of determination: The interactional functions of nú as a tone particle in Icelandic conversation,Hilmisdóttir H.,Journal of Pragmatics,03782166,43,261-287,2011-01-01,January 2011,10.1016/j.pragma.2010.07.020,4,2011
Learning aspects of hunting via a conformistbias could promote optimal foraging in lowland nicaragua,Koster J.M.,Journal of Cognition and Culture,15677095,12,203-222,2012-12-01,2012,10.1163/15685373-12342074,5,2012
Is religion essential? beliefs about religious categories,Segev M.,Journal of Cognition and Culture,15677095,12,323-337,2012-12-01,2012,10.1163/15685373-12342078,4,2012
Co-ordination of spatial perspectives in response to addressee feedback Effects of perceived addressee understanding,Thomas K.E.,Pragmatics and Cognition,09290907,20,505-545,2012-12-01,2012,10.1075/pc.20.3.04tho,0,2012
The influence of affective states on the process of lie detection,Reinhard M.A.,Journal of Experimental Psychology: Applied,1076898X,18,377-389,2012-12-01,December 2012,10.1037/a0030466,22,2012
Reduced OSM for long duration targets: Individuation or items loaded into VSTM?,Guest D.,Journal of Experimental Psychology: Human Perception and Performance,00961523,38,1541-1553,2012-12-01,December 2012,10.1037/a0027031,16,2012
The relationship between alertness and executive control,Weinbach N.,Journal of Experimental Psychology: Human Perception and Performance,00961523,38,1530-1540,2012-12-01,December 2012,10.1037/a0027875,77,2012
Perceiving event dynamics and parsing Hollywood films,Cutting J.E.,Journal of Experimental Psychology: Human Perception and Performance,00961523,38,1476-1490,2012-12-01,December 2012,10.1037/a0027737,73,2012
Pigeons prefer discriminative stimuli independently of the overall probability of reinforcement and of the number of presentations of the conditioned reinforcer,Stagner J.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,38,446-452,2012-12-01,2012,10.1037/a0030321,39,2012
Two ways to deepen extinction and the difference between them,Leung H.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,38,394-406,2012-12-01,2012,10.1037/a0030201,31,2012
"Spatial language, polysemy, and cross-linguistic semantic mismatches: Cognitive linguistics insights into challenges for second language learners",Tyler A.,Spatial Cognition and Computation,13875868,12,305-335,2012-12-01,2012,10.1080/13875868.2012.698670,11,2012
The perception of prototypical motion: Synchronization is enhanced with quantitatively morphed gestures of musical conductors,Wöllner C.,Journal of Experimental Psychology: Human Perception and Performance,00961523,38,1390-1403,2012-12-01,December 2012,10.1037/a0028130,41,2012
Back to the future of dissonance theory: Cognitive consistency as a core motive,Gawronski B.,Social Cognition,0278016X,30,652-668,2012-12-01,2012,10.1521/soco.2012.30.6.652,213,2012
On shielding from death as an important yet malleable motive of worldview defense: Christian versus muslim beliefs modulating the self-threat of mortality salience,Van Den Bos K.,Social Cognition,0278016X,30,778-802,2012-12-01,2012,10.1521/soco.2012.30.6.778,12,2012
Effects of a coactor's focus of attention on task performance,Böckler A.,Journal of Experimental Psychology: Human Perception and Performance,00961523,38,1404-1415,2012-12-01,December 2012,10.1037/a0027523,66,2012
"Interval, blocking, and marking effects during the development of schedule-induced drinking in rats",Patterson A.E.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,38,303-314,2012-12-01,2012,10.1037/a0027788,11,2012
Rhesus monkeys (Macaca mulatta) and capuchin monkeys (Cebus apella) remember future responses in a computerized task,Beran M.J.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,38,233-243,2012-12-01,2012,10.1037/a0027796,26,2012
"Musicians outperform nonmusicians in magnitude estimation: Evidence of a common processing mechanism for time, space and numbers",Agrillo C.,Quarterly Journal of Experimental Psychology,17470218,65,2321-2332,2012-12-01,December 2012,10.1080/17470218.2012.680895,29,2012
Mental time travel: Effects of trial duration on episodic and semantic content,Cole S.,Quarterly Journal of Experimental Psychology,17470218,65,2288-2296,2012-12-01,December 2012,10.1080/17470218.2012.740053,9,2012
Working memory capacity and retrieval limitations from long-term memory: An examination of differences in accessibility,Unsworth N.,Quarterly Journal of Experimental Psychology,17470218,65,2397-2410,2012-12-01,December 2012,10.1080/17470218.2012.690438,36,2012
Psychoinformatics: New Horizons at the Interface of the Psychological and Computing Sciences,Yarkoni T.,Current Directions in Psychological Science,09637214,21,391-397,2012-12-01,December 2012,10.1177/0963721412457362,77,2012
As Time Goes By: Temporal Constraints in Working Memory,Barrouillet P.,Current Directions in Psychological Science,09637214,21,413-419,2012-12-01,December 2012,10.1177/0963721412459513,136,2012
They're All the Same!. . but for Several Different Reasons: A Review of the Multicausal Nature of Perceived Group Variability,Rubin M.,Current Directions in Psychological Science,09637214,21,367-372,2012-12-01,December 2012,10.1177/0963721412457363,38,2012
Tags: Cross-linguistic diversity and commonality,Mithun M.,Journal of Pragmatics,03782166,44,2165-2182,2012-12-01,December 2012,10.1016/j.pragma.2012.09.010,24,2012
WH-Topicalization at the syntax-discourse interface in english speakers L2 Chinese grammars,Yuan B.,Studies in Second Language Acquisition,02722631,34,533-560,2012-12-01,December 2012,10.1017/S0272263112000332,24,2012
"Learning, awareness, and instruction: Subjective contingency awareness does matter in the colour-word contingency learning paradigm",Schmidt J.,Consciousness and Cognition,10538100,21,1754-1768,2012-12-01,December 2012,10.1016/j.concog.2012.10.006,31,2012
Delay discounting as emotional processing: An electrophysiological study,Blackburn M.,Cognition and Emotion,02699931,26,1459-1474,2012-12-01,December 2012,10.1080/02699931.2012.673478,20,2012
Differential effects of differing intensities of acute exercise on speed and accuracy of cognition: A meta-analytical investigation,McMorris T.,Brain and Cognition,02782626,80,338-351,2012-12-01,December 2012,10.1016/j.bandc.2012.09.001,374,2012
Re-assessing causal accounts of learnt behavior in rats,Burgess K.V.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,38,148-156,2012-12-01,2012,10.1037/a0027266,5,2012
Perception of emergent configurations in humans (Homo sapiens) and chimpanzees (Pan troglodytes),Goto K.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,38,125-138,2012-12-01,2012,10.1037/a0026899,8,2012
Salience modulation in serial preexposure: Implications for perceptual learning,Artigas A.A.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,38,66-73,2012-12-01,2012,10.1037/a0026399,4,2012
"The contribution of working memory to fluid reasoning: Capacity, control, or both?",Chuderski A.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,38,1689-1710,2012-11-01,November 2012,10.1037/a0028465,53,2012
Mere exposure revisited: The influence of growth versus security cues on evaluations of novel and familiar stimuli,Gillebaart M.,Journal of Experimental Psychology: General,00963445,141,699-714,2012-11-01,November 2012,10.1037/a0027612,33,2012
A negative effect of repetition in episodic memory,Peterson D.J.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,38,1786-1791,2012-11-01,November 2012,10.1037/a0028220,9,2012
The effects of prior knowledge on incidental category learning,Clapper J.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,38,1558-1577,2012-11-01,November 2012,10.1037/a0028457,5,2012
Working-memory load and temporal myopia in dynamic decision making,Worthy D.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,38,1640-1658,2012-11-01,November 2012,10.1037/a0028146,43,2012
Does positive affect broaden and negative affect narrow attentional scope? A new answer to an old question,Huntsinger J.,Journal of Experimental Psychology: General,00963445,141,595-600,2012-11-01,November 2012,10.1037/a0027709,72,2012
ERN and the placebo: A misattribution approach to studying the arousal properties of the error-related negativity,Inzlicht M.,Journal of Experimental Psychology: General,00963445,141,799-807,2012-11-01,November 2012,10.1037/a0027586,77,2012
Time perception is enhanced by task duration knowledge: Evidence from experienced swimmers,Tobin S.,Memory and Cognition,0090502X,40,1339-1351,2012-11-01,November 2012,10.3758/s13421-012-0231-3,24,2012
Emotional cues do not increase the likelihood of tip-of-the-tongue states,D'Angelo M.C.,Memory and Cognition,0090502X,40,1331-1338,2012-11-01,November 2012,10.3758/s13421-012-0235-z,11,2012
Right dislocated pronominals in Hong Kong Sign Language,Sze F.Y.B.,Journal of Pragmatics,03782166,44,1949-1965,2012-11-01,November 2012,10.1016/j.pragma.2012.08.011,4,2012
'Ignore that 'cause it's totally irrelevant': Marking lesser relevance in lectures,Deroey K.L.B.,Journal of Pragmatics,03782166,44,2085-2099,2012-11-01,November 2012,10.1016/j.pragma.2012.10.001,7,2012
Transmodality and temporality in design interactions,Murphy K.M.,Journal of Pragmatics,03782166,44,1966-1981,2012-11-01,November 2012,10.1016/j.pragma.2012.08.013,46,2012
Gestural Manifestation of Knowledge in Conceptual Frames,Chui K.,Discourse Processes,0163853X,49,599-621,2012-11-01,November 2012,10.1080/0163853X.2012.717803,4,2012
Replications in Psychology Research: How Often Do They Really Occur?,Makel M.C.,Perspectives on Psychological Science,17456916,7,537-542,2012-11-01,November 2012,10.1177/1745691612460688,541,2012
The Psychology of Replication and Replication in Psychology,Francis G.,Perspectives on Psychological Science,17456916,7,585-594,2012-11-01,November 2012,10.1177/1745691612459520,146,2012
A Vast Graveyard of Undead Theories: Publication Bias and Psychological Science's Aversion to the Null,Ferguson C.J.,Perspectives on Psychological Science,17456916,7,555-561,2012-11-01,November 2012,10.1177/1745691612459059,429,2012
"Psychologists Are Open to Change, yet Wary of Rules",Fuchs H.M.,Perspectives on Psychological Science,17456916,7,639-642,2012-11-01,November 2012,10.1177/1745691612459521,26,2012
"Low Hopes, High Expectations: Expectancy Effects and the Replicability of Behavioral Experiments",Klein O.,Perspectives on Psychological Science,17456916,7,572-584,2012-11-01,November 2012,10.1177/1745691612463704,96,2012
The Long Way From α-Error Control to Validity Proper: Problems With a Short-Sighted False-Positive Debate,Fiedler K.,Perspectives on Psychological Science,17456916,7,661-669,2012-11-01,November 2012,10.1177/1745691612462587,142,2012
"More consistent, yet less sensitive: Interval timing in autism spectrum disorders",Falter C.M.,Quarterly Journal of Experimental Psychology,17470218,65,2093-2107,2012-11-01,November 2012,10.1080/17470218.2012.690770,57,2012
A peculiar prevalence of p values just below .05,Masicampo E.,Quarterly Journal of Experimental Psychology,17470218,65,2271-2279,2012-11-01,November 2012,10.1080/17470218.2012.711335,205,2012
Why we need cognitive explanations of autism,Frith U.,Quarterly Journal of Experimental Psychology,17470218,65,2073-2092,2012-11-01,November 2012,10.1080/17470218.2012.697178,124,2012
Homing in rocky intertidal fish. Are Lipophrys pholis L. able to perform true navigation?,Jorge P.,Animal Cognition,14359448,15,1173-1181,2012-11-01,November 2012,10.1007/s10071-012-0541-7,17,2012
How to assess team performance in terms of control: A protocol based on cognitive systems engineering,Palmqvist H.,"Cognition, Technology and Work",14355558,14,337-353,2012-11-01,November 2012,10.1007/s10111-011-0183-6,9,2012
Human reliability analysis of car drivers in urban intersections,Taga H.,"Cognition, Technology and Work",14355558,14,365-377,2012-11-01,November 2012,10.1007/s10111-011-0185-4,11,2012
The Designing Mind: Children's Reasoning About Intended Function and Artifact Structure,Kelemen D.,Journal of Cognition and Development,15248372,13,439-453,2012-11-01,November 2012,10.1080/15248372.2011.608200,23,2012
"Emotions in reading: Disgust, empathy and the contextual learning hypothesis",Silva C.,Cognition,00100277,125,333-338,2012-11-01,November 2012,10.1016/j.cognition.2012.07.013,38,2012
Shades of emotion: What the addition of sunglasses or masks to faces reveals about the development of facial expression processing,Roberson D.,Cognition,00100277,125,195-206,2012-11-01,November 2012,10.1016/j.cognition.2012.06.018,49,2012
A written word is worth a thousand spoken words: The influence of spelling on spoken-word production,Bürki A.,Journal of Memory and Language,0749596X,67,449-467,2012-11-01,1 November 2012,10.1016/j.jml.2012.08.001,24,2012
Stress sensitive healthy females show less left amygdala activation in response to withdrawal-related visual stimuli under passive viewing conditions,Baeken C.,Brain and Cognition,02782626,80,230-236,2012-11-01,November 2012,10.1016/j.bandc.2012.07.005,3,2012
Individual differences in the strength of taxonomic versus thematic relations,Mirman D.,Journal of Experimental Psychology: General,00963445,141,601-609,2012-11-01,November 2012,10.1037/a0026451,73,2012
Reconsolidation from negative emotional pictures: Is successful retrieval required?,Finn B.,Memory and Cognition,0090502X,40,1031-1045,2012-10-04,2012,10.3758/s13421-012-0203-7,21,2012
The effects of emotion and encoding strategy on associative memory,Murray B.,Memory and Cognition,0090502X,40,1056-1069,2012-10-04,2012,10.3758/s13421-012-0215-3,36,2012
Memory of gender and gait direction from biological motion: Gender fades away but directions stay,Poom L.,Journal of Experimental Psychology: Human Perception and Performance,00961523,38,1091-1097,2012-10-01,October 2012,10.1037/a0028503,12,2012
Nonword reading: Comparing dual-route cascaded and connectionist dual-process models with human data,Pritchard S.C.,Journal of Experimental Psychology: Human Perception and Performance,00961523,38,1268-1288,2012-10-01,October 2012,10.1037/a0026703,54,2012
The effects of inversion and familiarity on face versus body cues to person recognition,Robbins R.A.,Journal of Experimental Psychology: Human Perception and Performance,00961523,38,1098-1104,2012-10-01,October 2012,10.1037/a0028584,69,2012
Pronominal objects in English-Italian and Spanish-Italian bilingual children,Serratrice L.,Applied Psycholinguistics,01427164,33,725-751,2012-10-01,October 2012,10.1017/S0142716411000543,39,2012
Emotion affects similarity via social projection,Estes Z.,Social Cognition,0278016X,30,584-609,2012-10-01,October 2012,10.1521/soco.2012.30.5.584,10,2012
Discourse markers and politeness in a digital forum in Spanish,Landone E.,Journal of Pragmatics,03782166,44,1799-1820,2012-10-01,October 2012,10.1016/j.pragma.2012.09.001,24,2012
"""This talk needs to be registered"": The metapragmatic meaning of the Japanese interactional particle yo",Morita E.,Journal of Pragmatics,03782166,44,1721-1742,2012-10-01,October 2012,10.1016/j.pragma.2012.07.011,15,2012
"To mark or not to mark the cause, that is the question: Causal marking in Taiwanese conversation",Chang M.,Journal of Pragmatics,03782166,44,1743-1763,2012-10-01,October 2012,10.1016/j.pragma.2012.08.007,5,2012
Some uses of gestural responsive actions,Berger I.,Journal of Pragmatics,03782166,44,1821-1835,2012-10-01,October 2012,10.1016/j.pragma.2012.04.012,9,2012
Common Ground? How the Encoding of Specialist Vocabulary Affects Peer-to-Peer Online Discourse,Paus E.,Discourse Processes,0163853X,49,565-598,2012-10-01,October 2012,10.1080/0163853X.2012.711671,7,2012
Gender differences on the semantic flanker task using transposed-letter target words,Judge J.,Quarterly Journal of Experimental Psychology,17470218,65,2008-2017,2012-10-01,October 2012,10.1080/17470218.2012.676654,16,2012
Desire: The New Hot Spot in Self-Control Research,Hofmann W.,Current Directions in Psychological Science,09637214,21,317-322,2012-10-01,October 2012,10.1177/0963721412453587,139,2012
"Pigeons, Humans, and the Monty Hall Dilemma",Herbranson W.,Current Directions in Psychological Science,09637214,21,297-301,2012-10-01,October 2012,10.1177/0963721412453585,9,2012
Testing Enhances the Transfer of Learning,Carpenter S.K.,Current Directions in Psychological Science,09637214,21,279-283,2012-10-01,October 2012,10.1177/0963721412452728,191,2012
A processing-centered look at the contribution of givenness to durational reduction,Kahn J.M.,Journal of Memory and Language,0749596X,67,311-325,2012-10-01,October 2012,10.1016/j.jml.2012.07.002,49,2012
Managing dialogue: How information availability affects collaborative reference production,Knutsen D.,Journal of Memory and Language,0749596X,67,326-341,2012-10-01,October 2012,10.1016/j.jml.2012.06.001,31,2012
Probability and surprisal in auditory comprehension of morphologically complex words,Balling L.W.,Cognition,00100277,125,80-106,2012-10-01,October 2012,10.1016/j.cognition.2012.06.003,64,2012
How framing statistical statements affects subjective veracity: Validation and application of a multinomial model for judgments of truth,Hilbig B.,Cognition,00100277,125,37-48,2012-10-01,October 2012,10.1016/j.cognition.2012.06.009,33,2012
The role of memory consolidation in generalisation of new linguistic information,Tamminen J.,Cognition,00100277,125,107-112,2012-10-01,October 2012,10.1016/j.cognition.2012.06.014,46,2012
Factors affecting medial temporal lobe engagement for past and future episodic events: An ALE meta-analysis of neuroimaging studies,Viard A.,Brain and Cognition,02782626,80,111-125,2012-10-01,October 2012,10.1016/j.bandc.2012.05.004,58,2012
"One hand, two objects: Emergence of affordance in contexts",Borghi A.,Brain and Cognition,02782626,80,64-73,2012-10-01,October 2012,10.1016/j.bandc.2012.04.007,90,2012
Hemispheric asymmetries in the activation and monitoring of memory errors,Giammattei J.,Brain and Cognition,02782626,80,7-14,2012-10-01,October 2012,10.1016/j.bandc.2012.04.003,7,2012
